안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
(분당)하나약국,031-716-3459,경기도 성남시 분당구 미금일로 71,경기도 성남시 분당구 구미동 144-4번지,37.3456210895,127.1118182571,S
(분당)GS25 오리역점,031-8022-6004,경기도 성남시 분당구 성남대로43번길 10,경기도 성남시 분당구 구미동 158번지,37.3400283181,127.1078167363,S
(분당)세븐일레븐 오리역점,031-713-4774,경기도 성남시 분당구 성남대로 38,경기도 성남시 분당구 구미동 185-1번지,37.3393124133,127.1093896673,S
(분당)세븐일레븐 분당성우점,031-711-6994,경기도 성남시 분당구 구미로 16,경기도 성남시 분당구 구미동 189-1번지 성우스타우스오피스텔 1층 103호,37.3377132185,127.1109897025,S
(분당)기린약국,031-711-4771,경기도 성남시 분당구 미금로 48,경기도 성남시 분당구 구미동 205-1번지,37.3377133229,127.1165439059,S
(분당)구미동우체국,031-712-3004,경기도 성남시 분당구 돌마로90번길 6-3,경기도 성남시 분당구 구미동 27번지,37.3493699701,127.1115505594,S
(분당)CU 미금먹자골목점,031-711-7162,경기도 성남시 분당구 미금일로86번길 9,경기도 성남시 분당구 구미동 54-12번지,37.3468507312,127.1102199805,S
(분당)미래팜대학약국,031-717-7570,경기도 성남시 분당구 돌마로 46,경기도 성남시 분당구 구미동 7-2번지,37.3496974615,127.1069986696,S
(분당)크린팜대학약국,031-712-4168,,경기도 성남시 분당구 금곡동 132번지 청솔마을,37.3528178302,127.1157105728,S
(분당)GS25 분당성원점,031-717-6395,경기도 성남시 분당구 성남대로 170,경기도 성남시 분당구 금곡동 159번지,37.3511750673,127.1095201615,S
(분당)GS25 미금씨티밸리점,,경기도 성남시 분당구 성남대로171번길 17,경기도 성남시 분당구 금곡동 172번지,37.3511210231,127.1068105923,S
(분당)GS25 분당대덕점,031-711-6070,경기도 성남시 분당구 정자일로 25,경기도 성남시 분당구 금곡동 206번지,37.352406221,127.1056747664,S
(분당)파리바게트 판교대장점,031-711-9969,경기도 성남시 분당구 판교대장로 92,경기도 성남시 분당구 대장동 627-5 파리바게뜨판교대장점 경기도 성남시 분당구 판교대장로 92,37.3670318637,127.0684429052,S
우프테이블,,경기도 성남시 분당구 동판교로 61,경기도 성남시 분당구 백현동 550번지 1층,37.388466419,127.1153931303,S
